Date,Size [B],Used [B]
2021-04-30T13:10:45.583828,199949888,708116928
2021-04-30T13:10:48.084023,165575744,742491072
2021-04-30T13:10:50.584282,130783384,777283432
2021-04-30T13:10:53.084511,616442384,291624432
2021-04-30T13:10:55.584711,582970192,325096624
2021-04-30T13:10:58.084922,549428536,358638280
2021-04-30T13:11:00.585134,515860544,392206272
2021-04-30T13:11:03.085364,482288664,425778152
2021-04-30T13:11:05.585574,448750896,459315920
2021-04-30T13:11:08.085787,414282088,493784728
2021-04-30T13:11:10.585996,378479504,529587312
2021-04-30T13:11:13.086217,343995608,564071208
2021-04-30T13:11:15.586412,306302752,601764064
2021-04-30T13:11:18.086605,273798944,634267872
2021-04-30T13:11:20.586821,238147360,669919456
2021-04-30T13:11:23.087046,201429248,706637568
2021-04-30T13:11:25.587261,165552312,742514504
2021-04-30T13:11:28.087477,129095456,778971360
2021-04-30T13:11:30.587669,612443832,295622984
2021-04-30T13:11:33.087893,577838776,330228040
2021-04-30T13:11:35.588100,541988408,366078408
2021-04-30T13:11:38.088318,506527584,401539232
2021-04-30T13:11:40.588563,471932600,436134216
2021-04-30T13:11:43.088768,435224424,472842392
2021-04-30T13:11:45.588966,401457432,506609384
2021-04-30T13:11:48.089214,368052088,540014728
2021-04-30T13:11:50.589460,333522616,574544200
2021-04-30T13:11:53.089728,299918152,608148664
2021-04-30T13:11:55.589939,264314552,643752264
2021-04-30T13:11:58.090139,229679536,678387280
2021-04-30T13:12:00.590368,197205688,710861128
2021-04-30T13:12:03.090597,161450648,746616168
2021-04-30T13:12:05.590819,125702760,782364056
2021-04-30T13:12:08.091009,612692352,295374464
2021-04-30T13:12:10.591203,578089344,329977472
2021-04-30T13:12:13.091428,530372720,377694096
2021-04-30T13:12:15.591623,335497672,572569144
2021-04-30T13:12:18.091804,300915464,607151352
2021-04-30T13:12:20.592007,268467616,639599200
2021-04-30T13:12:23.092231,232795368,675271448
2021-04-30T13:12:25.592432,198225408,709841408
2021-04-30T13:12:28.092599,498054384,410012432
2021-04-30T13:12:30.592783,461399760,446667056
2021-04-30T13:12:33.092983,430036480,478030336
2021-04-30T13:12:35.593191,397528576,510538240
2021-04-30T13:12:38.093386,358733312,549333504
2021-04-30T13:12:40.593596,327276032,580790784
2021-04-30T13:12:43.093798,284224712,623842104
2021-04-30T13:12:45.594025,253875712,654191104
2021-04-30T13:12:48.094245,225553888,682512928
2021-04-30T13:12:50.594460,193056256,715010560
2021-04-30T13:12:53.094691,494500280,413566536
2021-04-30T13:12:55.595002,448362936,459703880
2021-04-30T13:12:58.095285,423167560,484899256
2021-04-30T13:13:00.595554,381254072,526812744
2021-04-30T13:13:03.095781,338256200,569810616
2021-04-30T13:13:05.596009,313089272,594977544
2021-04-30T13:13:08.096234,295270840,612795976
2021-04-30T13:13:10.596447,255401744,652665072
2021-04-30T13:13:13.096640,219771320,688295496
