"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:14:28.690, 29 Apr 2021","2,3","0,0","828 375 072","468 054 672"
"10:14:29.690, 29 Apr 2021","2,3","0,0","828 375 072","482 734 736"
"10:14:30.690, 29 Apr 2021","2,5","0,0","828 375 072","499 511 952"
"10:14:31.691, 29 Apr 2021","2,3","0,0","828 375 072","514 192 016"
"10:14:32.691, 29 Apr 2021","2,3","0,0","828 375 072","528 872 080"
"10:14:33.691, 29 Apr 2021","2,4","0,0","828 375 072","545 649 296"
"10:14:34.691, 29 Apr 2021","2,0","0,0","828 375 072","560 329 360"
"10:14:35.691, 29 Apr 2021","2,3","0,0","828 375 072","577 106 576"
"10:14:36.691, 29 Apr 2021","2,4","0,0","828 375 072","593 883 792"
"10:14:37.691, 29 Apr 2021","2,3","0,0","828 375 072","606 466 704"
"10:14:38.691, 29 Apr 2021","3,0","0,0","828 375 072","149 116 416"
"10:14:39.692, 29 Apr 2021","2,1","0,0","828 375 072","163 796 480"
"10:14:40.692, 29 Apr 2021","2,0","0,0","828 375 072","178 476 544"
"10:14:41.692, 29 Apr 2021","2,4","0,0","828 375 072","195 253 760"
"10:14:42.692, 29 Apr 2021","2,3","0,0","828 375 072","212 030 976"
"10:14:43.692, 29 Apr 2021","2,6","0,0","828 375 072","233 002 496"
"10:14:44.692, 29 Apr 2021","2,4","0,0","828 375 072","249 779 712"
"10:14:45.692, 29 Apr 2021","2,3","0,0","828 375 072","268 654 080"
"10:14:46.693, 29 Apr 2021","1,9","0,0","828 375 072","283 334 144"
"10:14:47.693, 29 Apr 2021","2,5","0,0","828 375 072","302 208 512"
"10:14:48.693, 29 Apr 2021","2,5","0,0","828 375 072","318 985 728"
"10:14:49.693, 29 Apr 2021","2,3","0,0","828 375 072","335 762 944"
"10:14:50.693, 29 Apr 2021","2,2","0,0","828 375 072","350 443 008"
"10:14:51.693, 29 Apr 2021","2,0","0,0","828 375 072","367 220 224"
"10:14:52.693, 29 Apr 2021","2,4","0,0","828 375 072","383 997 440"
"10:14:53.693, 29 Apr 2021","2,3","0,0","828 375 072","398 677 504"
"10:14:54.694, 29 Apr 2021","1,9","0,0","828 375 072","415 454 720"
"10:14:55.694, 29 Apr 2021","2,4","0,0","828 375 072","432 231 936"
"10:14:56.694, 29 Apr 2021","2,3","0,0","828 375 072","449 009 152"
"10:14:57.694, 29 Apr 2021","2,3","0,0","828 375 072","463 689 216"
"10:14:58.694, 29 Apr 2021","2,3","0,0","828 375 072","480 466 432"
"10:14:59.694, 29 Apr 2021","2,0","0,0","828 375 072","493 049 344"
"10:15:00.694, 29 Apr 2021","1,9","0,0","828 375 072","507 729 408"
"10:15:01.694, 29 Apr 2021","2,3","0,0","828 375 072","524 506 624"
"10:15:02.695, 29 Apr 2021","2,2","0,0","828 375 072","539 186 688"
"10:15:03.695, 29 Apr 2021","3,4","0,0","828 375 072","566 449 664"
"10:15:04.695, 29 Apr 2021","2,1","0,0","828 375 072","581 129 728"
